,id_ta,food,service,value,atmosphere,is_verified,has_phone_number,has_hours,has_website,has_menu,distance,has_tcAward
135,d944138,,35.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
136,d7591118,45.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,0.4,0.0
137,d2265600,25.0,20.0,20.0,25.0,0.0,1.0,1.0,1.0,0.0,0.4,0.0
138,d2476295,50.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,2.2,0.0
139,d4802788,,,,,0.0,1.0,1.0,1.0,0.0,1.1,0.0
140,d12115648,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,2.3,0.0
141,d12530776,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
142,d12196362,50.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,,0.0
143,d12286606,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
144,d2013573,35.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,1.6,0.0
145,d2284554,45.0,45.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0
146,d731188,35.0,35.0,30.0,30.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
147,d3320878,40.0,35.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
148,d7615300,45.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
149,d1221322,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
150,d12212609,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
151,d1496185,45.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,1.1,0.0
152,d3875568,45.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.2,1.0
153,d11851315,,,,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
154,d12172104,,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0
155,d10365762,,,,,,,,,,,
156,d720981,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0
157,d4924474,35.0,35.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,4.6,0.0
158,d7364422,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,2.2,0.0
159,d753088,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
160,d8015665,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0
161,d12673809,35.0,35.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0
162,d12662600,,,,,0.0,1.0,1.0,1.0,0.0,1.2,0.0
163,d5820527,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
164,d5796259,35.0,30.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
165,d2570956,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,1.1,0.0
166,d4548040,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,1.6,1.0
167,d6016792,30.0,35.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
168,d8580647,,,,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
169,d3589838,35.0,30.0,25.0,30.0,0.0,1.0,1.0,1.0,0.0,,0.0
170,d4919056,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,1.7,0.0
171,d9697464,,,,,,,,,,,
172,d10454720,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
173,d7214386,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.2,1.0
174,d3173374,,30.0,35.0,30.0,0.0,1.0,1.0,1.0,0.0,,0.0
175,d5223231,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
176,d2244203,35.0,25.0,30.0,,0.0,1.0,1.0,1.0,0.0,1.4,0.0
177,d1513516,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
178,d7728883,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.8,0.0
179,d8339695,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
180,d8155349,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
181,d6767680,50.0,50.0,50.0,,0.0,1.0,1.0,1.0,0.0,,0.0
182,d5541820,,,,,,,,,,,
183,d8665097,,,,,0.0,1.0,1.0,1.0,0.0,2.1,0.0
184,d12953643,,,,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
185,d12438576,40.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,,0.0
186,d9742064,,,,,0.0,1.0,1.0,1.0,0.0,1.3,0.0
187,d8788264,45.0,45.0,50.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
188,d1180250,35.0,35.0,30.0,35.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
189,d12373265,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,2.2,0.0
190,d7314013,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
191,d8485362,35.0,30.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
192,d12010367,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,1.3,1.0
193,d1381958,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
194,d4128981,35.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
195,d6014189,50.0,50.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,,0.0
196,d1359197,40.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,1.8,0.0
197,d2371552,,,,,,,,,,,
198,d8653477,,,,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
199,d4772013,45.0,45.0,40.0,45.0,0.0,1.0,1.0,1.0,0.0,1.1,0.0
200,d1114749,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
201,d2365069,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0
202,d6816838,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
203,d3609285,45.0,45.0,45.0,40.0,0.0,1.0,1.0,1.0,0.0,0.9,1.0
204,d8484580,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
205,d12310132,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0
206,d3626794,40.0,35.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
207,d12419687,40.0,40.0,,,0.0,1.0,1.0,1.0,0.0,2.3,0.0
208,d733503,45.0,45.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,2.2,0.0
209,d9555361,40.0,40.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
210,d2280632,45.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,1.4,1.0
211,d5616724,35.0,35.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
212,d3139518,40.0,35.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,1.5,0.0
213,d11892937,40.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,3.9,0.0
214,d10598315,,,,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
215,d3454180,,,,,,,,,,,
216,d717275,40.0,35.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
217,d11804444,,,,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
218,d1994700,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
219,d3627031,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.9,0.0
220,d1337304,35.0,40.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
221,d12900078,,,,,0.0,1.0,1.0,1.0,0.0,1.1,0.0
222,d1391282,45.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,,1.0
223,d6946218,40.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,,1.0
224,d3989692,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.6,0.0
225,d2305090,35.0,35.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,,0.0
226,d9846374,,,,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
227,d10040653,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
228,d12580558,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
229,d1124172,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
230,d4324011,40.0,40.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0
231,d4506959,,,,,,,,,,,
232,d10390082,,,,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
233,d2714968,45.0,40.0,45.0,40.0,0.0,1.0,1.0,1.0,0.0,,1.0
234,d6107752,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,,0.0
235,d11948178,50.0,50.0,50.0,,0.0,1.0,1.0,1.0,0.0,,0.0
236,d6433593,40.0,45.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
237,d12909070,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
238,d2542620,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
239,d2257007,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,,0.0
240,d2449537,,,,,0.0,1.0,1.0,1.0,0.0,1.5,0.0
241,d1344132,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
242,d5512401,,,,,0.0,1.0,1.0,1.0,0.0,1.5,0.0
243,d5017894,40.0,40.0,45.0,30.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0
244,d4919219,30.0,30.0,30.0,,0.0,1.0,1.0,1.0,0.0,,0.0
245,d7194797,40.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
246,d5244329,,,,,,,,,,,
247,d2516048,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,2.6,1.0
248,d5312810,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
249,d7687645,45.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,,0.0
250,d12452641,40.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.6,0.0
251,d997514,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
252,d11721738,40.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
253,d954455,35.0,40.0,35.0,45.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
254,d7364830,40.0,45.0,45.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0
255,d1809460,50.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.1,1.0
256,d719036,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.1,1.0
257,d7079598,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,1.4,0.0
258,d1467775,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
259,d12637137,35.0,35.0,40.0,,0.0,1.0,1.0,1.0,0.0,,0.0
260,d1884238,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.3,0.0
261,d7281369,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
262,d1017707,45.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,1.0
263,d10766188,45.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.5,1.0
264,d5532359,,,,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
265,d4923271,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
266,d4149556,35.0,40.0,40.0,30.0,0.0,1.0,1.0,1.0,0.0,,0.0
267,d12706517,40.0,40.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.3,1.0
268,d12214912,50.0,50.0,50.0,,0.0,1.0,1.0,1.0,0.0,,0.0
269,d5801317,45.0,45.0,45.0,40.0,0.0,1.0,1.0,1.0,0.0,,1.0
270,d4925009,35.0,35.0,35.0,,0.0,1.0,1.0,1.0,0.0,1.4,0.0
271,d13326576,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
272,d8328280,45.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.7,1.0
273,d11992842,,,,,0.0,1.0,1.0,1.0,0.0,,0.0
274,d3569485,35.0,40.0,35.0,45.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
275,d12433829,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.9,0.0
276,d10304175,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.1,1.0
277,d3653180,,,,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
278,d8139612,50.0,45.0,50.0,,0.0,1.0,1.0,1.0,0.0,0.3,0.0
279,d10763412,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.9,0.0
280,d5503525,45.0,40.0,35.0,40.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0
281,d7104417,40.0,40.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.7,0.0
282,d2720564,40.0,35.0,35.0,35.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
283,d718602,40.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.3,1.0
284,d1026131,45.0,45.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0
285,d2518308,,,,,,,,,,,
286,d12413347,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
287,d7724878,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
288,d8340062,,,,,0.0,1.0,1.0,1.0,0.0,0.4,0.0
289,d10433666,40.0,35.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
290,d1107856,40.0,40.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,,1.0
291,d10445442,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
292,d11893322,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
293,d12902849,45.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,0.4,1.0
294,d10748374,,,,,0.0,1.0,1.0,1.0,0.0,1.7,0.0
295,d11670765,,,,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
296,d5818780,45.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
297,d7827386,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,1.4,1.0
298,d8120466,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,,0.0
299,d12654166,,,,,0.0,1.0,1.0,1.0,0.0,1.4,0.0
300,d8508269,40.0,40.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.1,0.0
301,d5113108,,,,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
302,d5801054,50.0,45.0,45.0,,0.0,1.0,1.0,1.0,0.0,,0.0
303,d9744276,,,,,,,,,,,
304,d8799555,45.0,45.0,40.0,,0.0,1.0,1.0,1.0,0.0,0.5,1.0
305,d7291485,40.0,40.0,35.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.0
306,d9867156,35.0,35.0,30.0,,0.0,1.0,1.0,1.0,0.0,0.2,0.0
307,d4085652,50.0,45.0,50.0,40.0,0.0,1.0,1.0,1.0,0.0,,0.0
308,d6777840,,,,,,,,,,,
309,d2319694,45.0,40.0,40.0,35.0,0.0,1.0,1.0,1.0,0.0,0.9,0.0
310,d6673541,,,,,0.0,1.0,1.0,1.0,0.0,1.7,0.0
311,d796186,45.0,45.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,0.1,1.0
